FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/changelist-cmd.c.xml,54,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/util.c.xml,714,2,8,1.0,0.0,,,,,,,,0,1,1,0,0,0,0,1
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/import-cmd.c.xml,59,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/move-cmd.c.xml,55,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/merge-cmd.c.xml,184,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/diff-cmd.c.xml,275,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/list-cmd.c.xml,195,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/blame-cmd.c.xml,222,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/client_errors.h.xml,33,4,22,2.0,0.7071067811865476,,,,,,,,2,4,0,0,0,0,0,3
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/cl.h.xml,287,2,280,1.6666666666666667,0.5773502691896257,,,,,,,,2,1,0,0,0,0,0,2
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/unlock-cmd.c.xml,24,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svn/update-cmd.c.xml,45,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats0.7/projects/subversion-1.5.1/_cppstats/subversion/svnlook/main.c.xml,1616,6,35,1.0,0.0,,,,,,,,0,6,0,0,0,0,0,1
