"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_cfgtree.h.xml,23,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_charset.h.xml,13,3,5,1.0,0.0,,,,,,,,1,2,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_cookies.h.xml,37,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_ebcdic.h.xml,20,3,9,1.0,0.0,,,,,,,,1,3,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_fcgi.h.xml,93,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_filter.h.xml,132,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_ldap.h.xml,153,10,120,1.7272727272727273,0.46709936649691375,,,,,,,,12,4,0,0,0,0,0,2,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_md5.h.xml,12,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_mutex.h.xml,75,6,16,1.0,0.0,,,,,,,,15,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_script.h.xml,48,3,4,1.25,0.5,,,,,,,,1,4,0,0,0,0,0,2,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_time.h.xml,22,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_varbuf.h.xml,39,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/include/util_xml.h.xml,10,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_access_compat.c.xml,288,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_allowmethods.c.xml,100,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_auth_basic.c.xml,372,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_auth_digest.c.xml,1413,3,77,1.0,0.0,,,,,,,,2,4,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_auth_form.c.xml,920,0,3,1.0,0,,,,,,,,0,2,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_authn_anon.c.xml,136,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_authn_core.c.xml,258,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/home/johannes/CMPUT663/cmput663-cpp-replic/cppstats/projects/httpd-2.4.28/_cppstats/modules/aaa/mod_authn_dbd.c.xml,258,2,44,1.0,0.0,,,,,,,,0,0,2,0,0,0,0,1,,
