"filename","loc","nofe","nofeo","nofc","lof","lofmin","lofmax","lofmean","lofstd","nnimax","nnimean","nnistd","uscode","uderiv","udesc","scode","deriv","desc","het","hom","hethom","sdegmean","sdegstd","tdegmean","tdegstd","gotopbgr","gofunbgr","gostrbrl","gostrbrg","goinnbgr","goexpbgr","gostmbgr","gopambgr","goerror","logic","l_and","l_or","l_not","comp","c_lt","c_le","c_gt","c_ge","c_ne","c_eq","arith","a_plus","a_minus","a_mult","a_div","a_mod","a_shiftr","a_shiftl","bit","b_or","b_and"
"asciitab.h.xml",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_OSAmodule.c.xml",775,30,30,30,33,1,4,1.1,0.55,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,28,0,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compress.c.xml",46,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_heapqmodule.c.xml",565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pyarena.h.xml",12,1,1,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zconf.h.xml",250,65,35,52,121,0,43,1.81,5.36,4,1.57,0.8,5,4,7,3,16,23,65,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,151,64,37,50,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"_codecs_jp.c.xml",557,3,3,1,27,1,11,3.38,3.38,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"intobject.c.xml",1071,11,10,7,128,1,35,7.53,9.77,2,1.06,0.25,0,0,0,0,1,0,11,0,0,0,0,0,0,7,7,0,1,2,0,0,0,0,5,1,0,4,4,0,0,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0
"ppc-darwin.h.xml",61,2,1,2,28,8,20,14,8.49,2,1.5,0.71,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unicodectype.c.xml",685,3,3,2,227,1,67,5.82,10.73,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,36,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"floatobject.h.xml",37,2,2,2,3,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xmlrole.h.xml",96,3,3,3,10,1,3,1.67,1.03,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ffitarget__1.h.xml",30,6,4,4,16,1,7,2.29,2.14,2,1.4,0.55,0,1,0,0,3,0,6,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,10,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getaddrinfo.c.xml",484,11,11,7,85,1,15,2.93,3.36,1,1,0,0,1,0,0,1,0,10,0,1,0,0,0,0,10,10,0,2,7,0,0,0,0,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kill_python__1.c.xml",100,2,2,1,8,4,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"formatter_string.c.xml",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thread_lwp.h.xml",104,1,1,1,15,15,15,15,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"msvcrtmodule.c.xml",234,6,5,5,62,0,14,6.2,5.2,2,1.1,0.32,0,0,0,0,1,0,6,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"thread_sgi.h.xml",305,4,3,3,97,1,19,6.47,6.13,2,1.07,0.26,0,0,0,0,1,0,4,0,0,0,0,0,0,3,7,0,0,5,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"row.h.xml",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strtod.c.xml",90,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"structmember.h.xml",54,3,3,3,5,1,2,1.25,0.5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sliceobject.c.xml",275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zipimport.c.xml",923,4,4,3,29,1,10,4.83,3.66,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pysvr.c.xml",283,2,2,2,3,1,2,1.5,0.71,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parsetok.c.xml",215,3,3,2,18,0,10,3.6,4.28,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"make_buildinfo__2.c.xml",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bltinmodule.c.xml",2366,14,12,11,239,1,92,9.96,22.22,2,1.06,0.24,0,2,0,0,7,0,13,0,1,0,0,0,0,7,13,0,1,3,0,0,0,0,27,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zlibmodule.c.xml",771,5,5,3,89,1,76,11.13,26.23,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"typestruct.h.xml",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_Sndmodule.c.xml",973,1,1,1,955,1,824,191,354.74,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"metagrammar.c.xml",154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"socket_connection.c.xml",124,2,2,1,6,3,3,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"md5.h.xml",17,1,1,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ppc-ffitarget.h.xml",57,12,5,8,32,0,8,2.46,2.22,3,1.7,0.67,1,0,1,0,8,2,12,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,27,13,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thread_cthread.h.xml",108,5,5,3,25,1,21,5,8.94,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cdmodule.c.xml",612,3,3,2,5,1,2,1.67,0.58,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ffi.c.xml",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
